Loyalty#,First Name,Last Name,Customer Name,Country,Province or State,City,Latitude,Longitude,Postal code,Gender,Education,Location Code,Income,Marital Status,LoyaltyStatus,EnrollmentDateOpening,CancellationDate,Customer Lifetime Value,EnrollmentType,IsActive,CustomerTenureDays,total_flights,total_flights_with_companions,total_distance,total_points_accumulated,total_points_redeemed,total_cost_redeemed,average_distance_per_flight,points_redemption_ratio,companion_flight_ratio,LoyaltyStatus_Nova,LoyaltyStatus_Star,EnrollmentType_Standard,Gender_male,Education_College,Education_Doctor,Education_High School or Below,Education_Master,Marital Status_Married,Marital Status_Single,Province or State_British Columbia,Province or State_Manitoba,Province or State_New Brunswick,Province or State_Newfoundland,Province or State_Nova Scotia,Province or State_Ontario,Province or State_Prince Edward Island,Province or State_Quebec,Province or State_Saskatchewan,Province or State_Yukon,Location Code_Suburban,Location Code_Urban
480934,Cecilia,Householder,Cecilia Householder,Canada,Ontario,Toronto,-1.0648275374830203,0.5599171017834975,M2Z 4K1,female,Bachelor,Urban,1.0686590444865178,Married,Star,2019-02-15,,-0.6056136119786227,Standard,1,-0.07287760582689341,1.1071252793301536,0.8536433107439905,1.3381112513150162,1.338310530669301,0.5646797654767253,0.5760325574046004,1.338111626895243,-0.04763393185549253,0.3425795866705535,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
549612,Dayle,Menez,Dayle Menez,Canada,Alberta,Edmonton,1.926312509574445,-0.9733510639400739,T3G 6Y6,male,College,Rural,-1.2432429686025637,Divorced,Star,2019-03-09,,-0.6055449076724421,Standard,1,-0.10255898289155725,1.8929540537595684,-0.18165436850376174,0.8436502407879704,0.8435141947757406,1.5914097383526222,1.584070916049822,0.8436509870117304,0.584566146617208,-0.9021219821486997,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
429460,Necole,Hannon,Necole Hannon,Canada,British Columbia,Vancouver,0.6375645725863663,-1.4062463359043085,V6E 3D9,male,College,Urban,-1.2432429686025637,Single,Star,2017-07-14,2021-01-08,-0.6055244425599627,Standard,0,0.22933277883150213,-0.2925217731768108,0.13343622952816286,-0.31781958231676916,-0.31784141692229106,-0.35850321654413886,-0.36929373745393695,-0.3178192038920076,-0.13700563301182878,0.3425795866705535,0,1,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1
608370,Queen,Hagee,Queen Hagee,Canada,Ontario,Toronto,-1.0648275374830203,0.5599171017834975,P1W 1K4,male,College,Suburban,-1.2432429686025637,Single,Star,2016-02-17,,-0.6055244425599627,Standard,1,1.4030963263886633,0.5557491677365007,0.943669195895969,0.5922019250161529,0.5922026429505767,0.8878162045513932,0.8965608834254312,0.592202794936566,0.333446543084651,0.4545865792206088,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
530508,Claire,Latting,Claire Latting,Canada,Quebec,Hull,-0.5279054273883051,0.7248890579020846,J8Y 3Z5,male,Bachelor,Suburban,1.98114613048407,Married,Star,2017-10-25,,-0.6050800572604113,2021 Promotion,1,0.5720177685780756,0.44676991491083257,1.123720966199926,0.4887415324398621,0.48870031218460996,-0.9878245243183607,-0.9871236992042342,0.48874178621440606,-0.69681579758746,0.7024060725401171,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
927943,Hue,Sellner,Hue Sellner,Canada,Ontario,Toronto,-1.0648275374830203,0.5599171017834975,P5S 6R4,female,College,Urban,-1.2432429686025637,Single,Star,2017-06-09,,-0.6028639779376478,Standard,1,0.7582009519836943,1.1071252793301536,-0.09162848335178328,1.4136836176343024,1.4138523700846186,1.4926289410651181,1.502777500030046,1.4136827604375282,0.31591022803268165,-0.46319042092027807,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1
188893,Nakia,Cash,Nakia Cash,Canada,Ontario,Trenton,-0.9293792994449664,0.6411428487422559,K8V 4B2,male,Bachelor,Suburban,1.8308556908341085,Married,Star,2019-12-08,,-0.60234650295067,Standard,1,-0.47222704269691607,0.7442538212727924,1.3037727365038827,0.8588740498572153,0.8590056101097022,-0.08306316755608939,-0.07547610526817534,0.8588739332017956,-0.24995559346789328,0.6192488512945453,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
852392,Arlene,Conterras,Arlene Conterras,Canada,Quebec,Montreal,-0.5058419371967757,0.8213646171301937,H2Y 2W2,female,Bachelor,Suburban,1.8308556908341085,Married,Star,2018-05-30,,-0.60234650295067,Standard,1,0.27925145844025495,-0.21299637246618772,0.8536433107439905,0.3977432029128464,0.39779157559606715,1.245234782900936,1.2437999032813314,0.39774358010842426,0.6389210743649454,1.1225568445076393,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
866307,Dustin,Recine,Dustin Recine,Canada,Ontario,Toronto,-1.0648275374830203,0.5599171017834975,M8Y 4K8,male,Bachelor,Suburban,1.8308556908341085,Married,Star,2019-10-14,,-0.60234650295067,Standard,1,-0.39802360003525644,0.9180315487515612,1.4388115642318504,0.08910806992277703,0.08902475541578146,1.4843254279342188,1.4807121442532498,0.08910894070739764,1.0253266062064146,0.6009054418869012,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
932823,Jeremy,Dickason,Jeremy Dickason,Canada,British Columbia,Vancouver,0.6375645725863663,-1.4062463359043085,V6E 3D9,female,Bachelor,Suburban,0.31236195706378306,Married,Star,2018-03-17,,-0.6020804564884384,Standard,1,0.37908881765776065,1.1124269727108616,0.8086303681680013,0.8716757072062006,0.8716059849790476,-0.10865131037164093,-0.10450946813238104,0.8716762068523821,-0.26465156953081215,0.008119535093591262,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0
